arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
PVG,2026-02-15,12:05,BR712,EVA Air,Duration: 2h 15m,"423 miles, 681 km",Boeing 777-300ER,333,B7 7016 /CA 5512 /HO 3182,Meal (none specific)
PVG,2026-02-15,12:05,JL891,JAL,Duration: 2h 50m,"817 miles, 1315 km",Boeing 787-8,211,FM 1012 /MU 4192,Meal (none specific)
PVG,2026-02-15,12:10,HO1182,Juneyao Airlines,Duration: 3h 10m,"1048 miles, 1686 km",Airbus A320,159,,Meal (none specific)
PVG,2026-02-15,12:15,HO2196,Juneyao Airlines,Duration: 2h 0m,"609 miles, 980 km",Airbus A320,159,,Meal (none specific)
PVG,2026-02-15,12:20,CZ6751,China Southern,Duration: 2h 25m,"769 miles, 1237 km",Airbus A320neo,166,AA 9087,Meal (none specific)
PVG,2026-02-15,12:20,JL873,JAL,Duration: 3h 45m,"1123 miles, 1807 km",Boeing 767-300 (winglets) Passenger,199,FM 1006 /MU 4186,Meal (none specific)
PVG,2026-02-15,12:20,MU6119,China Eastern,Duration: 2h 50m,"918 miles, 1477 km",Airbus A320,158,,Meal (none specific)
PVG,2026-02-15,12:20,NH919,ANA,Duration: 3h 30m,"1123 miles, 1807 km",Boeing 787-9,249,CA 6662 /HO 3130,Meal (none specific)
PVG,2026-02-15,12:20,Y87584,Suparna Airlines,Duration: 2h 15m,"535 miles, 861 km",Boeing 737-800 Passenger,181,,Meal (none specific)
PVG,2026-02-15,12:25,FM864,Shanghai Airlines,Duration: 5h 20m,"2371 miles, 3815 km",Boeing 737 Mixed Configuration,76,MU 8592,Meal (none specific)
PVG,2026-02-15,12:25,KY8205,Kunming Airlines,Duration: 2h 55m,"1227 miles, 1974 km",Boeing 737-800 Passenger,160,ZH 5419 /TV 8151,Meal (none specific)
PVG,2026-02-15,12:25,MU214,China Eastern,Duration: 11h 25m,"5780 miles, 9300 km",Boeing 787-9,296,,Meal (none specific)
PVG,2026-02-15,12:30,CX368,Cathay Pacific,Duration: 2h 45m,"784 miles, 1261 km",Airbus A350-900,280,,Meal (none specific)
PVG,2026-02-15,12:30,HO1376,Juneyao Airlines,Duration: 1h 30m,"321 miles, 516 km",Airbus A320,159,OZ 6859,Meal (none specific)
PVG,2026-02-15,12:30,HO1114,Juneyao Airlines,Duration: 1h 30m,"384 miles, 618 km",Airbus A320neo,164,3U 4450 /CA 3226 /CZ 65 /MF 7731 /MU 3655 /ZH 5056,Meal (none specific)
PVG,2026-02-15,12:35,KE887,Korean Air,Duration: 2h 25m,"513 miles, 825 km",Boeing 787-9,273,FM 8756 /MF 9090 /MU 8934,Meal (none specific)
PVG,2026-02-15,12:35,MU6216,China Eastern,Duration: 2h 15m,"759 miles, 1221 km",Airbus A320neo,158,EY 6017,Meal (none specific)
PVG,2026-02-15,12:40,9C8524,Spring Airlines,Duration: 2h 0m,"736 miles, 1184 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,12:40,CA8341,Air China,Duration: 2h 15m,"655 miles, 1054 km",Airbus A321,180,,Meal (none specific)
PVG,2026-02-15,12:40,CZ3851,China Southern,Duration: 2h 5m,"619 miles, 996 km",Boeing 737-800 Passenger,172,,Meal (none specific)
PVG,2026-02-15,12:40,FM9366,Shanghai Airlines,Duration: 1h 40m,"617 miles, 993 km",Boeing 737 Mixed Configuration,76,MU 8458,Meal (none specific)
PVG,2026-02-15,12:40,MU238,China Eastern,Duration: 9h 10m,"4091 miles, 6582 km",Airbus A330-200,234,EY 5749,Meal (none specific)
PVG,2026-02-15,12:40,SC4603,Shandong Airlines,Duration: 1h 40m,"364 miles, 586 km",Boeing 737-800 Passenger,167,ZH 2629 /G5 8335 /CA 4729 /TV 3139,Meal (none specific)
PVG,2026-02-15,12:45,CA4513,Air China,Duration: 2h 45m,"1036 miles, 1667 km",Airbus A319,128,SC 5492 /ZH 4543,Meal (none specific)
PVG,2026-02-15,12:45,CZ5523,China Southern,Duration: 3h 10m,"1048 miles, 1686 km",Airbus A320,158,AA 9082,Meal (none specific)
PVG,2026-02-15,12:45,MU9713,China Eastern,Duration: 1h 45m,"521 miles, 838 km",Boeing 737-500 (winglets) Passenger,168,MF 2323 /EY 5806,Meal (none specific)
PVG,2026-02-15,12:45,MU6918,China Eastern,Duration: 2h 25m,"824 miles, 1326 km",Airbus A320neo,158,HO 5399 /MF 2276,Meal (none specific)
PVG,2026-02-15,12:45,SQ828,Singapore Airlines,Duration: 5h 25m,"2377 miles, 3825 km",Airbus A350-900,259,CA 5299 /VA 5748,Meal (none specific)
PVG,2026-02-15,12:50,CA192,Air China,Duration: 2h 0m,"423 miles, 681 km",Airbus A330-300,302,B7 7008 /BR 2786,Meal (none specific)
PVG,2026-02-15,12:50,FM9356,Shanghai Airlines,Duration: 1h 50m,"649 miles, 1044 km",Boeing 737-500 (winglets) Passenger,166,MU 8452,Meal (none specific)
PVG,2026-02-15,12:50,HO1052,Juneyao Airlines,Duration: 2h 15m,"653 miles, 1051 km",Airbus A320neo,164,3U 4426 /CZ 33 /MF 7691 /MU 3623 /ZH 5024,Meal (none specific)
PVG,2026-02-15,12:50,MU5616,China Eastern,Duration: 3h 30m,"1048 miles, 1686 km",Airbus A320,158,3U 5306 /MF 3894 /DL 6388 /EY 5832,Meal (none specific)
PVG,2026-02-15,12:50,MU5054,China Eastern,Duration: 1h 50m,"516 miles, 830 km",Airbus A320neo,158,,Meal (none specific)
PVG,2026-02-15,12:55,9C6136,Spring Airlines,Duration: 2h 45m,"824 miles, 1326 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,12:55,MU6214,China Eastern,Duration: 2h 0m,"749 miles, 1205 km",Airbus A320,158,HO 5493 /MF 7478 /EY 5759,Meal (none specific)
PVG,2026-02-15,12:55,MU6448,China Eastern,Duration: 2h 25m,"725 miles, 1167 km",Airbus A319,122,HO 5405 /EY 5766,Meal (none specific)
PVG,2026-02-15,12:55,MU6444,China Eastern,Duration: 2h 15m,"853 miles, 1372 km",Airbus A320neo,158,HO 5729 /EY 5778,Meal (none specific)
PVG,2026-02-15,13:00,CA936,Air China,Duration: 11h 20m,"5533 miles, 8903 km",Airbus A350-900,312,LH 7324,Meal (none specific)
PVG,2026-02-15,13:00,MU5586,China Eastern,Duration: 2h 0m,"563 miles, 906 km",Airbus A319,122,HO 5423 /EY 5877,Meal (none specific)
PVG,2026-02-15,13:05,MU5204,China Eastern,Duration: 2h 20m,"887 miles, 1427 km",Boeing 737-500 (winglets) Passenger,168,HO 5681 /3U 5202 /MF 3604 /EY 5913,Meal (none specific)
PVG,2026-02-15,13:10,CA1894,Air China,Duration: 1h 55m,"769 miles, 1237 km",Airbus A321,180,HO 5745 /SC 5458 /UA 7615 /ZH 1894,Meal (none specific)
PVG,2026-02-15,13:10,CZ3550,China Southern,Duration: 2h 25m,"751 miles, 1208 km",Boeing 777-300ER,361,AA 9078 /SV 6010,Meal (none specific)
PVG,2026-02-15,13:10,CZ5407,China Southern,Duration: 2h 40m,"1029 miles, 1656 km",Boeing 737-800 Passenger,172,,Meal (none specific)
PVG,2026-02-15,13:10,HO1036,Juneyao Airlines,Duration: 2h 20m,"788 miles, 1268 km",Airbus A320,159,3U 4422 /MF 7701 /MU 3617 /CZ 27 /ZH 5018,Meal (none specific)
PVG,2026-02-15,13:10,HO1176,Juneyao Airlines,Duration: 1h 35m,"364 miles, 586 km",Airbus A320,159,3U 4488 /CA 3244 /MF 7771 /MU 3693 /CZ 103 /ZH 5094 /AY 3158,Meal (none specific)
PVG,2026-02-15,13:15,CA4507,Air China,Duration: 2h 45m,"1036 miles, 1667 km",Airbus A320neo,158,ZH 4537,Meal (none specific)
