date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,entertainment,meals,uid,airline_source,page_date_verified,scraped_at
18/2/2026,Wednesday,CAN,arrival,23:55,ZH9964,Shenzhen Airlines,Duration: 2h 0m,21:55 - 23:55,"567 miles, 912 km",Airbus A320,162,CA 3614 /SC 9660,,Meal (none specific),260218_ZH9964_21552355,text,True,2026-02-15T09:02:04.222315
18/2/2026,Wednesday,CAN,arrival,,CZ6664,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3302,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ6488,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,8B167,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3236,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3934,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3100,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3347,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3303,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3502,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ382,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3856,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3891,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ656,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3136,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3316,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3878,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3895,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3922,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ8294,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3332,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3958,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,MU2303,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3208,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3648,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3893,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ8532,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3268,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ8216,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3636,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ326,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3344,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3844,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3345,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3864,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CA1359,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3908,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ8608,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3110,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3778,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3400,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3506,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3986,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
18/2/2026,Wednesday,CAN,arrival,,CZ3942,,,,,,,,,,,recovery,True,2026-02-15T09:02:04.426713
