date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,meals,uid,airline_source,page_date_verified,scraped_at
15/3/2026,Sunday,BKK,arrival,11:15,PG124,Bangkok Airways,Duration: 1h 15m,10:00 - 11:15,"290 miles, 467 km",Airbus A319,133,AY 6882 /BR 3896 /CI 9812 /CX 6514 /EK 4415 /EY 7755 /GA 9619 /GF 4447 /HX 3880 /KC 1124 /LX 4183 /MH 4920 /PR 3739 /QR 4362 /SQ 5402 /TG 5967 /TK 4420,Meal (none specific),260315_PG124_10001115,text,True,2026-02-14T16:11:59.972871
15/3/2026,Sunday,BKK,arrival,11:20,PG262,Bangkok Airways,Duration: 1h 30m,09:50 - 11:20,"406 miles, 653 km",Airbus A319,133,AY 6874 /BR 3970 /CI 9732 /CX 6512 /EK 4511 /EY 7636 /GA 9571 /GF 4417 /HX 3790 /JL 5900 /KC 1262 /KL 3987 /LX 4157 /LY 8494 /MH 4960 /PR 3753 /QF 3481,Meal (none specific),260315_PG262_09501120,text,True,2026-02-14T16:12:00.221791
15/3/2026,Sunday,BKK,arrival,11:20,PG924,Bangkok Airways,Duration: 1h 25m,09:55 - 11:20,"235 miles, 378 km",ATR 42 / ATR 72,70,AY 6886 /EY 7718 /GA 9199 /JL 5966 /KL 3988 /LX 4169 /QF 3460 /QR 4372 /TG 7085 /TK 4511,Meal (none specific),260315_PG924_09551120,text,True,2026-02-14T16:12:00.471305
15/3/2026,Sunday,BKK,arrival,11:20,TG202,Thai Airways,Duration: 1h 30m,09:50 - 11:20,"420 miles, 676 km",Airbus A320,156,BR 3450 /OZ 6769,Meal (none specific),260315_TG202_09501120,text,True,2026-02-14T16:12:00.731233
15/3/2026,Sunday,BKK,arrival,11:20,VN611,Vietnam Airlines,Duration: 2h 5m,09:15 - 11:20,"621 miles, 999 km",Airbus A321,184,LY 8242 /K6 3611 /PG 4280 /SV 6820 /AY 6266 /KL 4077 /SK 8204,Meal (none specific),260315_VN611_09151120,text,True,2026-02-14T16:12:00.968672
15/3/2026,Sunday,BKK,arrival,11:25,CZ8079,China Southern,Duration: 3h 10m,09:15 - 11:25,"1066 miles, 1715 km",Boeing 737MAX 8 Passenger,175,3U 7075,Meal (none specific),260315_CZ8079_09151125,text,True,2026-02-14T16:12:01.201549
15/3/2026,Sunday,BKK,arrival,11:25,UA820,United,Duration: 3h 5m,09:20 - 11:25,"1055 miles, 1697 km",Boeing 787-9,259,,Meal (none specific),260315_UA820_09201125,text,True,2026-02-14T16:12:01.458569
15/3/2026,Sunday,BKK,arrival,11:25,VZ201,Vietjet Thailand,Duration: 1h 15m,10:10 - 11:25,"291 miles, 468 km",Airbus A320,180,,Meal (none specific),260315_VZ201_10101125,text,True,2026-02-14T16:12:01.708617
15/3/2026,Sunday,BKK,arrival,11:30,BR211,EVA Air,Duration: 4h 5m,08:25 - 11:30,"1554 miles, 2500 km",Boeing 777-300ER,333,AI 7051 /TG 6315,Meal (none specific),260315_BR211_08251130,text,True,2026-02-14T16:12:01.954949
15/3/2026,Sunday,BKK,arrival,11:35,FD4125,Thai AirAsia,Duration: 1h 35m,10:00 - 11:35,"420 miles, 676 km",Airbus A320,180,,Meal (none specific),260315_FD4125_10001135,text,True,2026-02-14T16:12:02.196780
