arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
BKK,2026-02-13,17:35,CI839,China Airlines,Duration: 3h 50m,"1432 miles, 2304 km",Boeing 737-800 Passenger,172,AE 5319 /PG 4904,Meal (none specific)
BKK,2026-02-13,17:35,TG212,Thai Airways,Duration: 1h 30m,"420 miles, 676 km",Airbus A320,156,GF 6312 /MH 5836,Meal (none specific)
BKK,2026-02-13,17:40,MH774,Malaysia Airlines,Duration: 2h 20m,"762 miles, 1226 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,AY 6622 /FY 7480 /PG 4522 /QR 4483 /RJ 3252 /TG 4716,Meal (none specific)
BKK,2026-02-13,17:40,VJ903,VietJet,Duration: 1h 50m,"621 miles, 999 km",Airbus A321,214,H1 5163 /A1 2903 /W2 4903,Meal (none specific)
BKK,2026-02-13,17:45,PG154,Bangkok Airways,Duration: 1h 15m,"290 miles, 467 km",Airbus A319,133,BR 3904 /CI 9730 /EY 7624 /GF 4489 /HX 3890 /KC 1154 /PR 3779 /QR 4340 /SQ 5394 /TG 5584 /TK 4439 /VN 3778,Meal (none specific)
BKK,2026-02-13,17:45,VZ225,Vietjet Thailand,Duration: 1h 20m,"298 miles, 479 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,17:45,WY815,Oman Air,Duration: 5h 40m,"2868 miles, 4615 km",Boeing 787-9,281,OV 8115 /TG 7526,Meal (none specific)
BKK,2026-02-13,17:50,9C7485,Spring Airlines,Duration: 2h 30m,"790 miles, 1271 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,17:50,FD4153,Thai AirAsia,Duration: 1h 25m,"439 miles, 706 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,17:50,FM855,Shanghai Airlines,Duration: 5h 5m,"1809 miles, 2911 km",Boeing 737 Mixed Configuration,76,MU 8611,Meal (none specific)
BKK,2026-02-13,17:50,PR736,PAL,Duration: 3h 40m,"1366 miles, 2198 km",Airbus A321,190,PG 4394,Meal (none specific)
BKK,2026-02-13,17:55,CZ363,China Southern,Duration: 3h 10m,"1066 miles, 1715 km",Airbus A321neo,198,3U 7041,Meal (none specific)
BKK,2026-02-13,17:55,FD4113,Thai AirAsia,Duration: 1h 35m,"420 miles, 676 km",Airbus A320,180,,Meal (none specific)
